sep=,
"date","lead_name","business","area","phone_or_link","channel","status","next_action","next_date","notes","lead_id"
"2026-03-05","007 Mobile Phones Est","007 Mobile Phones Est","Abu Dhabi","=""0097126411133""","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/007-mobile-phones-est-163697","UAE0001"
"2026-03-05","02 Mobile Phones","02 Mobile Phones","Abu Dhabi","=""0097126411884""","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/02-mobile-phones-163691","UAE0002"
"2026-03-05","10 Star General Maint LLC","10 Star General Maint LLC","Abu Dhabi","=""0097126506615""","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/10-star-general-maint-llc-140248","UAE0003"
"2026-03-05","109 Architecture and Engineering Cunsulting","109 Architecture and Engineering Cunsulting","Abu Dhabi","=""0097126273465""","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/109-architecture-and-engineering-cunsulting-133921","UAE0004"
"2026-03-05","18 Degree","18 Degree","Abu Dhabi","=""0097125961440""","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/18-degree-175665","UAE0005"
"2026-03-05","19 Media Events and Marketing","19 Media Events and Marketing","Abu Dhabi","=""00971502646604""","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/19-media-events-and-marketing-194736","UAE0006"
"2026-03-05","19 Media Events and Marketing","19 Media Events and Marketing","Abu Dhabi","=""00971508188454""","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/19-media-events-and-marketing-194736","UAE0007"
"2026-03-05","2010 Safety and Protection Consultancy","2010 Safety and Protection Consultancy","Abu Dhabi","=""0097126315528""","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/2010-safety-and-protection-consultancy-138100","UAE0008"
"2026-03-05","24 Hours Grocery","24 Hours Grocery","Abu Dhabi","=""0097126777192""","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/24-hours-grocery-165111","UAE0009"
"2026-03-05","360 Facilities Management and Interiors","360 Facilities Management and Interiors","Abu Dhabi","=""0097125510260""","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/360-facilities-management-and-interiors-193562","UAE0010"
"2026-03-05","360 Facilities Management and Interiors","360 Facilities Management and Interiors","Abu Dhabi","=""00971542886930""","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/360-facilities-management-and-interiors-193562","UAE0011"
