"date";"lead_name";"business";"area";"phone_or_link";"channel";"status";"next_action";"next_date";"notes";"lead_id"
"2026-03-05";"2000 General Trading";"2000 General Trading";"Ajman";"+97167442500";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/2000-general-trading-135611";"UAE0122"
"2026-03-05";"2000 Pharmacy";"2000 Pharmacy";"Ajman";"+97167407762";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/2000-pharmacy-170972";"UAE0123"
"2026-03-05";"24/7 Battery";"24/7 Battery";"Ajman";"+971561905190";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/24-7-battery-171224";"UAE0124"
"2026-03-05";"24/7 Battery";"24/7 Battery";"Ajman";"+971565340387";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/24-7-battery-171224";"UAE0125"
"2026-03-05";"247 Steel Company";"247 Steel Company";"Ajman";"+971581484477";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/247-steel-company-185744";"UAE0126"
"2026-03-05";"247 Steel Company";"247 Steel Company";"Ajman";"+97165240063";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/247-steel-company-185744";"UAE0127"
"2026-03-05";"4 Star Garments Workshop";"4 Star Garments Workshop";"Ajman";"+971509418432";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/4-star-garments-workshop-157484";"UAE0128"
"2026-03-05";"4 Star Garments Workshop";"4 Star Garments Workshop";"Ajman";"+971556960957";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/4-star-garments-workshop-157484";"UAE0129"
"2026-03-05";"A and P Group, The";"A and P Group, The";"Ajman";"+97167436542";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-and-p-group-the-111925";"UAE0130"
"2026-03-05";"A J Design Consultants";"A J Design Consultants";"Ajman";"+97167425555";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-j-design-consultants-150303";"UAE0131"
"2026-03-05";"A J Security And Safety Consultancies";"A J Security And Safety Consultancies";"Ajman";"+97167444412";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-j-security-and-safety-consultancies-169368";"UAE0132"
"2026-03-05";"A Kazemi General Trading Co";"A Kazemi General Trading Co";"Ajman";"+97167427908";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-kazemi-general-trading-co-137009";"UAE0133"
"2026-03-05";"A M A Perfumes Manufacturing LLC";"A M A Perfumes Manufacturing LLC";"Ajman";"+97167432220";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-m-a-perfumes-manufacturing-llc-109244";"UAE0134"
"2026-03-05";"A M Beauty Life";"A M Beauty Life";"Ajman";"+971529692287";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-m-beauty-life-169995";"UAE0135"
"2026-03-05";"A M Bldg Mat Trdg";"A M Bldg Mat Trdg";"Ajman";"+97167438773";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-m-bldg-mat-trdg-117583";"UAE0136"
"2026-03-05";"A Nakhlah Real Estate Invest Center";"A Nakhlah Real Estate Invest Center";"Ajman";"+97167480904";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-nakhlah-real-estate-invest-center-173244";"UAE0137"
"2026-03-05";"A R International General Trading";"A R International General Trading";"Ajman";"+97167450844";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-r-international-general-trading-128383";"UAE0138"
"2026-03-05";"A To Z Home Appliances Trading LLC";"A To Z Home Appliances Trading LLC";"Ajman";"+97167482871";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-to-z-home-appliances-trading-llc-169383";"UAE0139"
"2026-03-05";"A to Z Studio";"A to Z Studio";"Ajman";"+97167432774";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-to-z-studio-169348";"UAE0140"
"2026-03-05";"A to Z Typing Center";"A to Z Typing Center";"Ajman";"+97167427174";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-to-z-typing-center-169382";"UAE0141"
"2026-03-05";"A V M Readymade Garments Trading";"A V M Readymade Garments Trading";"Ajman";"+971506976719";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-v-m-readymade-garments-trading-143881";"UAE0142"
"2026-03-05";"A&#x27;Diwan Real Estate Investment Co";"A&#x27;Diwan Real Estate Investment Co";"Ajman";"+97167448811";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-diwan-real-estate-investment-co-134333";"UAE0143"
"2026-03-05";"AA Car Washing and Accessories";"AA Car Washing and Accessories";"Ajman";"+971507169030";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aa-car-washing-and-accessories-190643";"UAE0144"
"2026-03-05";"AA Car Washing and Accessories";"AA Car Washing and Accessories";"Ajman";"+97167046551";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aa-car-washing-and-accessories-190643";"UAE0145"
"2026-03-05";"Aaban Building Cleaning And Pest Control Service";"Aaban Building Cleaning And Pest Control Service";"Ajman";"+971525716677";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aaban-building-cleaning-and-pest-control-service-182576";"UAE0146"
"2026-03-05";"Aahad Car Recovery Services";"Aahad Car Recovery Services";"Ajman";"+971526565760";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aahad-car-recovery-services-176597";"UAE0147"
"2026-03-05";"Aaliya Medical Centre";"Aaliya Medical Centre";"Ajman";"+97167475599";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aaliya-medical-centre-143886";"UAE0148"
"2026-03-05";"Aamir Car Recovery";"Aamir Car Recovery";"Ajman";"+971551435222";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aamir-car-recovery-178483";"UAE0149"
"2026-03-05";"Aamraa Building Materials Trading LLC";"Aamraa Building Materials Trading LLC";"Ajman";"+971555674952";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aamraa-building-materials-trading-llc-188927";"UAE0150"
"2026-03-05";"Aara Stationery";"Aara Stationery";"Ajman";"+97167465332";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aara-stationery-169365";"UAE0151"
"2026-03-05";"Aaron International FZE";"Aaron International FZE";"Ajman";"+971552822655";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aaron-international-fze-168923";"UAE0152"
"2026-03-05";"Aaron International FZE";"Aaron International FZE";"Ajman";"+97167417171";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aaron-international-fze-168923";"UAE0153"
"2026-03-05";"Aarson Garments &amp; Textiles Trading";"Aarson Garments &amp; Textiles Trading";"Ajman";"+97167432446";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aarson-garments-textiles-trading-169370";"UAE0154"
