"date";"lead_name";"business";"area";"phone_or_link";"channel";"status";"next_action";"next_date";"notes";"lead_id"
"2026-03-05";"515 Mobile Phone";"515 Mobile Phone";"Al Ain";"+97137666610";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/515-mobile-phone-126657";"UAE0179"
"2026-03-05";"A A Bin Hraiz Indl Supplies Establishment";"A A Bin Hraiz Indl Supplies Establishment";"Al Ain";"+97137211488";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-a-bin-hraiz-indl-supplies-establishment-130609";"UAE0180"
"2026-03-05";"A Abir Ceramic Trading Establishment";"A Abir Ceramic Trading Establishment";"Al Ain";"+97137213774";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-abir-ceramic-trading-establishment-143773";"UAE0181"
"2026-03-05";"AAAI - Al Ain Automatic Irrigation Company LLC";"AAAI - Al Ain Automatic Irrigation Company LLC";"Al Ain";"+97137641290";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aaai-al-ain-automatic-irrigation-company-llc-109840";"UAE0182"
"2026-03-05";"Abar Al Jazeera Al Arabia LLC";"Abar Al Jazeera Al Arabia LLC";"Al Ain";"+97137825916";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abar-al-jazeera-al-arabia-llc-169386";"UAE0183"
"2026-03-05";"Abdul Aziz Mohd Al Suwaidi Transport Establishment";"Abdul Aziz Mohd Al Suwaidi Transport Establishment";"Al Ain";"+97137213877";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-aziz-mohd-al-suwaidi-transport-establishment-105278";"UAE0184"
"2026-03-05";"Abdul Aziz Restaurant";"Abdul Aziz Restaurant";"Al Ain";"+97137211335";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-aziz-restaurant-131916";"UAE0185"
"2026-03-05";"Abdul Aziz Restaurant";"Abdul Aziz Restaurant";"Al Ain";"+97137211601";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-aziz-restaurant-173505";"UAE0186"
"2026-03-05";"Abdul Aziz Restaurant";"Abdul Aziz Restaurant";"Al Ain";"+97137645252";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-aziz-restaurant-173506";"UAE0187"
"2026-03-05";"Abdul Kareem Grocery";"Abdul Kareem Grocery";"Al Ain";"+97137678672";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-kareem-grocery-165656";"UAE0188"
"2026-03-05";"Abdul Majeed Electronic Stores";"Abdul Majeed Electronic Stores";"Al Ain";"+97137512882";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-majeed-electronic-stores-134487";"UAE0189"
"2026-03-05";"Abdul Rahim Abdul Aziz Oil Change and Tyre Rep";"Abdul Rahim Abdul Aziz Oil Change and Tyre Rep";"Al Ain";"+97137214731";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-rahim-abdul-aziz-oil-change-and-tyre-rep-132834";"UAE0190"
"2026-03-05";"Omar Hamadeh for Auditing &amp; Accounting";"Omar Hamadeh for Auditing &amp; Accounting";"Al Ain";"+97137669366";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-majid-hamadeh-and-co-104438";"UAE0191"
