"date","lead_name","business","area","phone_or_link","channel","status","next_action","next_date","notes","lead_id"
"2026-03-05","1 Dirham Home Insulation","1 Dirham Home Insulation","Dubai","+97142975755","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/1-dirham-home-insulation-183247","UAE0193"
"2026-03-05","1 Dirham Home Insulation","1 Dirham Home Insulation","Dubai","+971559468303","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/1-dirham-home-insulation-183247","UAE0194"
"2026-03-05","1 Step Properties","1 Step Properties","Dubai","+97144385333","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/1-step-properties-172346","UAE0195"
"2026-03-05","1 X 1 Art Gallery","1 X 1 Art Gallery","Dubai","+97143411287","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/1-x-1-art-gallery-162550","UAE0196"
"2026-03-05","1001 Events FZ LLC","1001 Events FZ LLC","Dubai","+97143671025","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/1001-events-fz-llc-149497","UAE0197"
"2026-03-05","1001 Events Tourism LLC","1001 Events Tourism LLC","Dubai","+97143962292","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/1001-events-tourism-llc-128294","UAE0198"
"2026-03-05","1004 MART L.L.C","1004 MART L.L.C","Dubai","+97143234536","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/1004-mart-l-l-c-165680","UAE0199"
"2026-03-05","101 Dining Lounge and Bar","101 Dining Lounge and Bar","Dubai","+97144401010","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/101-dining-lounge-and-bar-152437","UAE0200"
"2026-03-05","101 Parathas","101 Parathas","Dubai","+97144249950","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/101-parathas-184891","UAE0201"
"2026-03-05","101 Parathas","101 Parathas","Dubai","+97144524449","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/101-parathas-174758","UAE0202"
"2026-03-05","101 Parathas","101 Parathas","Dubai","+971544687636","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/101-parathas-174758","UAE0203"
"2026-03-05","101 Parathas","101 Parathas","Dubai","+971544687637","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/101-parathas-184891","UAE0204"
"2026-03-05","10X Curtains","10X Curtains","Dubai","+971585833769","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/10x-curtains-195393","UAE0205"
"2026-03-05","11 11 Events","11 11 Events","Dubai","+97143332254","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/11-11-events-190882","UAE0206"
"2026-03-05","11 11 Events","11 11 Events","Dubai","+971542520849","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/11-11-events-190882","UAE0207"
"2026-03-05","111 Motors","111 Motors","Dubai","+97143204111","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/111-motors-148128","UAE0208"
"2026-03-05","123 Cargo","123 Cargo","Dubai","+97142396717","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/123-cargo-156347","UAE0209"
"2026-03-05","123 Cargo LLC","123 Cargo LLC","Dubai","+97143806833","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/123-cargo-llc-170092","UAE0210"
"2026-03-05","14 Star Technical Services LLC","14 Star Technical Services LLC","Dubai","+97142736446","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/14-star-technical-services-llc-170095","UAE0211"
"2026-03-05","1762","1762","Dubai","+9718001762","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/1762-152180","UAE0212"
"2026-03-05","18 BRICKS","18 BRICKS","Dubai","+97145140422","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/18-bricks-183944","UAE0213"
"2026-03-05","18 BRICKS","18 BRICKS","Dubai","+971551795638","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/18-bricks-183944","UAE0214"
"2026-03-05","18 Buffet","18 Buffet","Dubai","+97142999115","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/18-buffet-147330","UAE0215"
"2026-03-05","180 Technologies LLC","180 Technologies LLC","Dubai","+97143988660","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/180-technologies-llc-170096","UAE0216"
"2026-03-05","180 Technologies LLC","180 Technologies LLC","Dubai","+971501180864","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/180-technologies-llc-170096","UAE0217"
"2026-03-05","2 Way Tourism","2 Way Tourism","Dubai","+971555271595","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/2-way-tourism-162831","UAE0218"
