"date";"lead_name";"business";"area";"phone_or_link";"channel";"status";"next_action";"next_date";"notes";"lead_id"
"2026-03-05";"1 Stop Auto Electrician";"1 Stop Auto Electrician";"Ras Al Khaimah";"+97172223773";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/1-stop-auto-electrician-134566";"UAE0870"
"2026-03-05";"505 Mobile Phones";"505 Mobile Phones";"Ras Al Khaimah";"+97172363612";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/505-mobile-phones-134532";"UAE0871"
"2026-03-05";"A &amp; G FZ LLC";"A &amp; G FZ LLC";"Ras Al Khaimah";"+97172432858";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-and-g-fz-llc-169994";"UAE0872"
"2026-03-05";"A M Tailors";"A M Tailors";"Ras Al Khaimah";"+97172223534";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-m-tailors-138141";"UAE0873"
"2026-03-05";"Abayat Al Fareed";"Abayat Al Fareed";"Ras Al Khaimah";"+97172335579";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abayat-al-fareed-139419";"UAE0874"
"2026-03-05";"Abba Fashions";"Abba Fashions";"Ras Al Khaimah";"+97172333236";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abba-fashions-137873";"UAE0875"
"2026-03-05";"Abbood Steel Workshop";"Abbood Steel Workshop";"Ras Al Khaimah";"+97172462957";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abbood-steel-workshop-135410";"UAE0876"
"2026-03-05";"ABC Industries LLC";"ABC Industries LLC";"Ras Al Khaimah";"+97172589175";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abc-industries-llc-178553";"UAE0877"
"2026-03-05";"Abdul Haq Steel Workshop";"Abdul Haq Steel Workshop";"Ras Al Khaimah";"+97172662289";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-haq-steel-workshop-125985";"UAE0878"
"2026-03-05";"Abdul Karim Sofa Furniture Shop";"Abdul Karim Sofa Furniture Shop";"Ras Al Khaimah";"+97172334049";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-karim-sofa-furniture-shop-139856";"UAE0879"
"2026-03-05";"Abdul Nasar Stores";"Abdul Nasar Stores";"Ras Al Khaimah";"+97172221405";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-nasar-stores-113531";"UAE0880"
